"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2019",19,19,0,245456.315789474,2001.26315789474,125.157894736842
"2","01002","2019",8,8,0,124866.25,1130.25,112.125
"3","01004","2019",207,109,98,168338.516908213,2043.31400966184,82.4589371980676
"4","01005","2019",34,26,8,247461.058823529,2427.26470588235,105.470588235294
"5","01006","2019",1,0,1,157100,1155,136
"6","01007","2019",43,40,3,183494.88372093,1987.18604651163,92.3720930232558
"7","01008","2019",5,5,0,212850,1987.6,104.2
"8","01009","2019",3,2,1,114583.333333333,1112.66666666667,104.333333333333
"9","01010","2019",20,16,4,171602.25,2012.1,87.9
"10","01011","2019",2,2,0,127500,1731.5,79
"11","01012","2019",6,6,0,123450,1076.5,111.833333333333
"12","01013","2019",4,4,0,115414,1029.75,107.75
"13","01014","2019",28,18,10,163307.142857143,1936.67857142857,83.1428571428571
"14","01015","2019",9,9,0,169936.555555556,1244.22222222222,147.333333333333
"15","01016","2019",4,4,0,75205,1246,79
"16","01017","2019",9,9,0,85612.5555555556,1021.66666666667,83.3333333333333
"17","01021","2019",18,15,3,262828.5,2129.55555555556,133.611111111111
"18","01022","2019",19,17,2,149659.368421053,1489.94736842105,108.105263157895
"19","01023","2019",1,1,0,118000,1180,100
"20","01024","2019",44,35,9,198583.590909091,2078.72727272727,96.1818181818182
"21","01025","2019",46,45,1,198374.130434783,1862.60869565217,108.826086956522
"22","01026","2019",11,10,1,179951.727272727,1746.27272727273,110.363636363636
"23","01027","2019",23,20,3,261198.739130435,2559,104.782608695652
"24","01028","2019",7,7,0,250477.571428571,2006.85714285714,128.285714285714
"25","01029","2019",6,6,0,119888.5,1116.83333333333,104
"26","01030","2019",16,10,6,208426.3125,2223.125,96
"27","01031","2019",28,13,15,133456.428571429,1510.92857142857,82.7857142857143
"28","01032","2019",29,25,4,249341.827586207,2357.41379310345,107.724137931034
"29","01033","2019",249,80,169,166125.522088353,2109.88353413655,78.7028112449799
"30","01034","2019",123,69,54,149035.105691057,1574.24390243902,94.7560975609756
"31","01035","2019",5,5,0,99500,1416.2,69.2
"32","01036","2019",25,25,0,153536.52,1486.12,99.88
"33","01037","2019",3,3,0,144383.333333333,1574,85
"34","01038","2019",9,9,0,203738.888888889,1684.33333333333,137.444444444444
"35","01039","2019",5,4,1,165750,1628.4,118.2
"36","01040","2019",9,9,0,156615.222222222,1497,105.333333333333
"37","01041","2019",17,17,0,130287.058823529,1587.94117647059,84.0588235294118
"38","01042","2019",2,2,0,209450,2168.5,100.5
"39","01043","2019",70,51,19,320412.857142857,3182.97142857143,104.342857142857
"40","01044","2019",3,3,0,312500,2166.66666666667,144.333333333333
"41","01045","2019",2,2,0,372700,1983.5,190
"42","01046","2019",10,10,0,203104,1683.2,118.2
"43","01047","2019",14,14,0,254018.357142857,2349.78571428571,111.071428571429
"44","01049","2019",43,36,7,249819.069767442,2584.53488372093,99.4651162790698
"45","01050","2019",2,2,0,186000,1132,210
"46","01051","2019",4,4,0,134382.5,1093.5,120
"47","01052","2019",2,2,0,306090,1649.5,185.5
"48","01053","2019",627,134,493,129674.315789474,1660.9696969697,77.8867623604466
"49","01054","2019",15,15,0,240308.2,1987,123.2
"50","01056","2019",9,9,0,96865.4444444444,1166.66666666667,85.2222222222222
"51","01057","2019",5,5,0,173150,1480.8,118.4
"52","01058","2019",6,5,1,123866.666666667,1456.16666666667,89.3333333333333
"53","01060","2019",8,8,0,146037.5,1447.625,133.75
"54","01061","2019",17,17,0,192100.529411765,1788.58823529412,114.941176470588
"55","01062","2019",15,13,2,330149.333333333,2620.13333333333,132.266666666667
"56","01063","2019",3,3,0,208633.333333333,2538.66666666667,85
"57","01064","2019",14,13,1,151475,1686.07142857143,88.7142857142857
"58","01065","2019",14,13,1,176402.928571429,1922.21428571429,96.4285714285714
"59","01066","2019",3,3,0,96000,1195.66666666667,76
"60","01067","2019",2,2,0,142500,1123.5,129.5
"61","01068","2019",15,13,2,106233.333333333,1315.33333333333,87.1333333333333
"62","01069","2019",25,20,5,187765.8,1876.16,101.16
"63","01071","2019",62,34,28,455581.080645161,4398.74193548387,104.806451612903
"64","01072","2019",30,28,2,217266.333333333,2065.73333333333,107.733333333333
"65","01073","2019",10,9,1,176605.5,1892,92.9
"66","01074","2019",43,32,11,180043.418604651,2103.79069767442,87.2790697674419
"67","01075","2019",24,20,4,212333.166666667,2061.95833333333,103.791666666667
"68","01076","2019",5,5,0,50560,688.6,81.6
"69","01077","2019",3,3,0,126895,1209.66666666667,98
"70","01078","2019",22,12,10,364242.727272727,3867.90909090909,95.1818181818182
"71","01079","2019",7,7,0,128668.571428571,1146.85714285714,110.857142857143
"72","01080","2019",9,9,0,118065,1431.33333333333,82.5555555555556
"73","01081","2019",7,5,2,225467.142857143,2226,103.571428571429
"74","01082","2019",7,5,2,210420,2182.42857142857,100.857142857143
"75","01083","2019",14,9,5,169886.571428571,1806.28571428571,89.5714285714286
"76","01084","2019",11,11,0,203285.454545455,1990.90909090909,102.272727272727
"77","01085","2019",1,1,0,231200,2245,103
"78","01087","2019",4,4,0,144000,1263.5,108.75
"79","01088","2019",11,11,0,269931.818181818,2565.18181818182,108.272727272727
"80","01089","2019",28,28,0,180172.25,1942.25,91.6428571428571
"81","01090","2019",3,3,0,191917.333333333,1852.33333333333,106.666666666667
"82","01092","2019",28,27,1,203805.321428571,1723.78571428571,124.25
"83","01093","2019",63,33,30,196609.952380952,2207.55555555556,91.8571428571429
"84","01094","2019",16,16,0,160998.125,1306.625,126.9375
"85","01095","2019",9,8,1,147026.666666667,1457.88888888889,97.2222222222222
"86","01096","2019",9,9,0,207256.555555556,2045,106.555555555556
"87","01098","2019",10,9,1,149910,1211.7,115.4
"88","01099","2019",22,21,1,191395.909090909,1932.59090909091,98.5454545454545
"89","01100","2019",2,2,0,177500,1060.5,156.5
"90","01101","2019",2,2,0,181000,1742,101
"91","01102","2019",14,14,0,178337.142857143,1611.21428571429,109.571428571429
"92","01103","2019",41,20,21,430361.365853659,4632.14634146341,94.609756097561
"93","01104","2019",5,4,1,271000,1600.4,156.8
"94","01105","2019",14,9,5,291618.571428571,3042.42857142857,99.2142857142857
"95","01106","2019",2,2,0,46000,1136.5,40.5
"96","01107","2019",3,3,0,79600,1443.66666666667,58.6666666666667
"97","01108","2019",25,24,1,122432,1118.28,109.76
"98","01109","2019",29,27,2,365514.344827586,3659,101.206896551724
"99","01110","2019",2,2,0,198250,1275.5,156
"100","01111","2019",4,4,0,69540,1136.25,61
"101","01112","2019",8,8,0,233418.125,1761.625,132.375
