"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2015",10,10,0,177600.1,1729.1,104.7
"2","01002","2015",5,5,0,184260,1189,154.6
"3","01004","2015",156,99,57,155901.442307692,1922.19230769231,83.6282051282051
"4","01005","2015",24,18,6,194855.625,1799.25,112.875
"5","01006","2015",2,0,2,82000,924,89
"6","01007","2015",18,17,1,154663.333333333,1641.05555555556,95.8333333333333
"7","01008","2015",13,13,0,186382.307692308,1596.23076923077,120.307692307692
"8","01009","2015",2,2,0,244300,1964,125
"9","01010","2015",25,21,4,170090,1912.88,95.56
"10","01011","2015",4,4,0,162500,1692.75,102
"11","01012","2015",2,2,0,148000,1990,77
"12","01013","2015",5,5,0,114877.4,1301.4,80
"13","01014","2015",29,23,6,150181.034482759,1569.79310344828,96.7586206896552
"14","01015","2015",5,5,0,181400,1356,148.2
"15","01016","2015",5,5,0,129224,1293.2,102.6
"16","01017","2015",6,5,1,97575.8333333333,1084.33333333333,88
"17","01019","2015",1,0,1,55000,743,74
"18","01021","2015",6,5,1,289500,2511.66666666667,116.333333333333
"19","01022","2015",8,8,0,149150,1741.875,87.625
"20","01023","2015",4,4,0,82750,946,91.25
"21","01024","2015",18,15,3,157722.222222222,1709.55555555556,92.2777777777778
"22","01025","2015",32,32,0,173622.8125,1602.34375,115.8125
"23","01026","2015",7,6,1,148567.857142857,1478.71428571429,102.857142857143
"24","01027","2015",12,10,2,214064.833333333,2350.91666666667,97.5
"25","01028","2015",6,6,0,198325,1784.83333333333,110.166666666667
"26","01029","2015",6,6,0,121666.666666667,972.833333333333,134.5
"27","01030","2015",8,4,4,113312.5,1579.375,71.25
"28","01031","2015",19,9,10,123629.473684211,1495.26315789474,78.1578947368421
"29","01032","2015",23,17,6,248624.826086957,2442.78260869565,101.826086956522
"30","01033","2015",121,48,73,180916.20661157,2189.47933884298,84.5702479338843
"31","01034","2015",53,28,25,151044.886792453,1610.94339622642,98.4905660377358
"32","01035","2015",2,2,0,185500,1447.5,123
"33","01036","2015",14,14,0,155655.714285714,1646.78571428571,98.0714285714286
"34","01037","2015",3,3,0,139833.333333333,1291.33333333333,113.666666666667
"35","01038","2015",4,4,0,134837.5,1366,146.5
"36","01039","2015",11,11,0,148713.636363636,1370.36363636364,111
"37","01040","2015",5,5,0,153312,1338.8,137
"38","01041","2015",8,8,0,127420,1431.5,91
"39","01043","2015",38,31,7,296685.868421053,2671.73684210526,114.868421052632
"40","01044","2015",4,4,0,242500,2823.25,78.75
"41","01045","2015",3,3,0,156000,1162.33333333333,133
"42","01046","2015",9,9,0,173412.222222222,1630.66666666667,116.111111111111
"43","01047","2015",10,10,0,249078.6,2126.9,114.9
"44","01049","2015",32,30,2,233849.25,2249.71875,107.625
"45","01050","2015",3,3,0,188788.333333333,1575.66666666667,120.333333333333
"46","01051","2015",4,4,0,49726.25,1267,43.75
"47","01052","2015",4,4,0,268750,2135.75,116.75
"48","01053","2015",462,118,344,125241.313852814,1632.62770562771,77.4329004329004
"49","01054","2015",16,16,0,210947.1875,1864.1875,115.875
"50","01056","2015",3,3,0,91666.6666666667,1118.33333333333,86.6666666666667
"51","01057","2015",6,6,0,122118.333333333,1649,79.8333333333333
"52","01058","2015",11,10,1,124272.727272727,1327.18181818182,88.1818181818182
"53","01060","2015",4,4,0,259400,2271.75,122
"54","01061","2015",17,16,1,170976.352941176,1680.94117647059,102.176470588235
"55","01062","2015",13,13,0,216329.923076923,2198.15384615385,100.076923076923
"56","01063","2015",2,2,0,146000,1574.5,92.5
"57","01064","2015",5,5,0,151408,1470.4,107
"58","01065","2015",15,15,0,210917,1884.13333333333,115.533333333333
"59","01066","2015",2,2,0,25500,597,44.5
"60","01067","2015",2,2,0,123500,1517.5,82.5
"61","01068","2015",10,10,0,85580,1122,77.5
"62","01069","2015",15,10,5,156987.8,1709,90.3333333333333
"63","01071","2015",48,29,19,463311.395833333,4249.41666666667,109.083333333333
"64","01072","2015",32,31,1,188860.28125,1820.375,101.96875
"65","01073","2015",6,5,1,181575,1865,105.666666666667
"66","01074","2015",22,19,3,172310.454545455,1836.36363636364,96.6363636363636
"67","01075","2015",10,10,0,266143.5,2108,128.9
"68","01076","2015",5,4,1,79180,1042.6,79.8
"69","01077","2015",2,2,0,102000,1209.5,85
"70","01078","2015",16,11,5,369428.0625,4029.125,91.875
"71","01079","2015",4,4,0,89705.75,759.75,131
"72","01080","2015",7,7,0,146658.571428571,993.571428571429,148.714285714286
"73","01081","2015",10,9,1,283981,2406.2,119.6
"74","01082","2015",7,6,1,160157.142857143,1588,98
"75","01083","2015",11,11,0,247831.454545455,1842,138.818181818182
"76","01084","2015",11,11,0,215644.545454545,1717.27272727273,136.909090909091
"77","01085","2015",3,3,0,211666.666666667,1926,111.666666666667
"78","01087","2015",1,1,0,224000,2286,98
"79","01088","2015",5,5,0,217393.8,2292.2,102.6
"80","01089","2015",13,13,0,220913.846153846,2013.38461538462,114.076923076923
"81","01090","2015",3,3,0,217866.666666667,1679,137
"82","01092","2015",24,22,2,189966.041666667,2148.91666666667,95.25
"83","01093","2015",45,33,12,193151.777777778,2058.4,95.9111111111111
"84","01094","2015",7,7,0,123415.714285714,1325,91.1428571428571
"85","01095","2015",9,9,0,116555.555555556,1418.55555555556,82.8888888888889
"86","01096","2015",6,6,0,140775,1216.33333333333,108.166666666667
"87","01098","2015",3,3,0,181133.333333333,1774.66666666667,106.333333333333
"88","01099","2015",18,17,1,182119.444444444,1783.72222222222,103.666666666667
"89","01100","2015",1,1,0,235000,3615,65
"90","01101","2015",2,2,0,275000,1861.5,151.5
"91","01102","2015",9,9,0,164634.444444444,1473.66666666667,112.444444444444
"92","01103","2015",8,3,5,331196.75,3432.625,91.75
"93","01104","2015",2,1,1,152531.5,2526.5,55.5
"94","01105","2015",14,13,1,255849.714285714,2174.28571428571,115.357142857143
"95","01106","2015",2,2,0,157042.5,1867.5,85
"96","01108","2015",13,12,1,122242.307692308,1166,100
"97","01109","2015",28,22,6,301628.071428571,3269.64285714286,93.2142857142857
"98","01110","2015",4,3,1,111250,1238.5,92
"99","01111","2015",3,3,0,111733.333333333,1212.66666666667,90
"100","01112","2015",6,6,0,165500,1604.33333333333,103.666666666667
"101","01113","2015",10,10,0,167482.5,1703.2,101.4
"102","01114","2015",3,2,1,301500,2822,111.333333333333
"103","01115","2015",13,11,2,149122.538461538,1451.38461538462,110.153846153846
"104","01116","2015",9,9,0,118877.777777778,1515.11111111111,82.5555555555556
"105","01118","2015",12,12,0,159000.416666667,1697.41666666667,98.0833333333333
"106","01123","2015",6,6,0,182150,1745.16666666667,103.5
"107","01124","2015",8,8,0,117078,1129.125,107.125
"108","01125","2015",7,7,0,98147.5714285714,1313.85714285714,79.2857142857143
"109","01127","2015",3,3,0,164666.666666667,1440,116.666666666667
"110","01128","2015",2,2,0,89500,960,92
"111","01129","2015",3,3,0,167000,2216.33333333333,75.3333333333333
"112","01130","2015",20,20,0,181209.7,1581.85,113.6
"113","01133","2015",7,7,0,126234.714285714,1423.57142857143,85
"114","01134","2015",17,16,1,177817.941176471,1745.35294117647,102.235294117647
"115","01135","2015",19,19,0,566351.631578947,4109.73684210526,137.842105263158
"116","01136","2015",4,4,0,175500,1825.5,94.5
"117","01138","2015",39,28,11,119156.153846154,1437.46153846154,84
"118","01139","2015",7,7,0,131086.428571429,1370.42857142857,107.142857142857
"119","01140","2015",4,4,0,180305,1498.25,126.5
"120","01141","2015",4,4,0,100125,1134,95.25
"121","01142","2015",65,47,18,202082.692307692,2361.95384615385,87.6461538461539
"122","01143","2015",140,60,80,591490.85,5103.56428571429,113.614285714286
"123","01145","2015",6,5,1,186100,1944.33333333333,99.5
"124","01146","2015",1,1,0,151400,2019,75
"125","01147","2015",7,7,0,141825.714285714,1162.42857142857,122
"126","01148","2015",6,6,0,158933.333333333,1415.33333333333,121.5
"127","01149","2015",13,11,2,157359.230769231,1785.07692307692,88.5384615384615
"128","01150","2015",5,5,0,166206,1297.2,119.4
"129","01151","2015",11,11,0,188259.090909091,1594.27272727273,116.909090909091
"130","01152","2015",11,11,0,174783.636363636,1857.09090909091,98.3636363636364
"131","01153","2015",22,19,3,478818.909090909,4141,117.636363636364
"132","01155","2015",5,5,0,95580,882,95.8
"133","01156","2015",5,5,0,189052.8,1629.4,122.6
"134","01157","2015",18,18,0,249234.555555556,2297.16666666667,111.055555555556
"135","01158","2015",9,8,1,310992.777777778,2720.77777777778,107.444444444444
"136","01159","2015",27,22,5,138340.740740741,1381.18518518519,105.111111111111
"137","01160","2015",115,6,109,270944.547826087,3902.97391304348,70.1478260869565
"138","01163","2015",12,11,1,144034.083333333,1675.41666666667,85.8333333333333
"139","01165","2015",14,14,0,205517.285714286,1833.42857142857,113.642857142857
"140","01166","2015",20,17,3,256805,2208.5,118.3
"141","01167","2015",5,5,0,168468.6,2054.4,85.6
"142","01169","2015",5,5,0,214710,2060.6,106
"143","01170","2015",6,5,1,207416.666666667,2159,100.666666666667
"144","01171","2015",2,1,1,107500,1135.5,104.5
"145","01173","2015",121,33,88,306689.388429752,3557.0826446281,85.1157024793388
"146","01174","2015",1,1,0,296860,925,321
"147","01175","2015",1,1,0,165300,1109,149
"148","01177","2015",3,3,0,117566.666666667,1861.66666666667,62
"149","01179","2015",16,16,0,167926.25,1734.1875,99.1875
"150","01180","2015",5,4,1,410600,4773.4,82.6
"151","01181","2015",2,2,0,210500,1707.5,127
"152","01183","2015",12,12,0,233186.666666667,2410.58333333333,93.0833333333333
"153","01184","2015",12,12,0,103010.416666667,1467.91666666667,77.3333333333333
"154","01185","2015",47,38,9,122336.382978723,1161.34042553191,105.914893617021
"155","01187","2015",6,3,3,176830.833333333,1770.83333333333,102
"156","01188","2015",9,9,0,150609.111111111,1647.44444444444,102.777777777778
"157","01189","2015",7,6,1,146742.857142857,1874.28571428571,70.8571428571429
"158","01191","2015",2,2,0,157000,1021.5,158
"159","01192","2015",7,6,1,178944.571428571,1851.71428571429,96.1428571428571
"160","01193","2015",2,2,0,179800,2490,76.5
"161","01194","2015",74,32,42,184247.824324324,2161.77027027027,86.7432432432432
"162","01195","2015",11,10,1,170622.727272727,1563.45454545455,112.636363636364
"163","01196","2015",4,4,0,184220.75,1742.25,106.75
"164","01197","2015",2,2,0,143626,2316.5,64
"165","01198","2015",1,1,0,257000,2380,108
"166","01199","2015",19,17,2,119600,1460.26315789474,84.1578947368421
"167","01200","2015",2,2,0,84000,807,105
"168","01202","2015",77,45,32,153450.337662338,1683.93506493506,92.2857142857143
"169","01203","2015",5,5,0,184540,1754,104.8
"170","01204","2015",8,7,1,185287.5,1604.5,112
"171","01206","2015",4,4,0,136950,1350.25,113.75
"172","01207","2015",2,2,0,349600,2054,170
"173","01208","2015",1,1,0,67425,843,80
"174","01209","2015",10,9,1,254260,2651.8,93.3
"175","01210","2015",12,2,10,89837.5,2420.5,38
"176","01211","2015",10,10,0,245714.6,2137.9,102.5
"177","01212","2015",10,10,0,119077,1082.2,112.6
"178","01213","2015",18,18,0,150919.444444444,1693.66666666667,97.3333333333333
"179","01214","2015",2,2,0,66750,723,78.5
"180","01215","2015",2,2,0,184500,2028,90
"181","01216","2015",2,2,0,137500,1300.5,97.5
"182","01219","2015",1,1,0,60000,1224,49
"183","01224","2015",45,33,12,181091.866666667,2045.57777777778,93.6444444444444
"184","01225","2015",4,2,2,172351.25,1527.75,113.5
"185","01227","2015",8,8,0,173116.25,1403.75,129.5
"186","01228","2015",1,1,0,180000,3103,58
"187","01229","2015",7,7,0,166640,1544.85714285714,103.714285714286
"188","01230","2015",5,5,0,125471.6,1199,108.8
"189","01231","2015",9,8,1,161000,1728.44444444444,101.555555555556
"190","01232","2015",13,13,0,204851.538461538,1796.61538461538,114.230769230769
"191","01233","2015",1,1,0,147600,1135,130
"192","01234","2015",2,2,0,120500,938.5,131
