"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2016",7,7,0,225428.571428571,1994.71428571429,128.857142857143
"2","01002","2016",6,6,0,83261.6666666667,1105.66666666667,70.1666666666667
"3","01004","2016",138,90,48,165378.34057971,1864.51449275362,88.7536231884058
"4","01005","2016",25,18,7,188922.96,1909.52,102.08
"5","01007","2016",28,28,0,182799.321428571,1972.82142857143,95.3571428571429
"6","01008","2016",8,7,1,125887.5,1377.5,89.875
"7","01009","2016",2,2,0,280570,2437,115
"8","01010","2016",8,6,2,140961.25,1968.625,72.5
"9","01011","2016",3,2,1,144033.333333333,1977.66666666667,74.3333333333333
"10","01012","2016",4,4,0,107282.5,1399.5,88.25
"11","01013","2016",1,1,0,40000,465,86
"12","01014","2016",16,14,2,154146.875,1681.3125,88.875
"13","01015","2016",4,4,0,135250,1473.75,94.75
"14","01016","2016",3,3,0,134800,1480.66666666667,91.6666666666667
"15","01017","2016",7,5,2,88542.8571428571,1070.71428571429,90.2857142857143
"16","01019","2016",1,1,0,1e+05,2000,50
"17","01021","2016",13,10,3,183251.230769231,1989.92307692308,92.9230769230769
"18","01022","2016",11,11,0,154631.454545455,1617.36363636364,105.363636363636
"19","01024","2016",46,39,7,174544.5,1673.89130434783,109.891304347826
"20","01025","2016",36,35,1,172730.611111111,1659.38888888889,107.555555555556
"21","01026","2016",11,11,0,158935.909090909,1461.54545454545,114.818181818182
"22","01027","2016",15,13,2,235275.933333333,2639.26666666667,105.333333333333
"23","01028","2016",8,8,0,193812.5,1980.875,104
"24","01029","2016",5,5,0,124457.4,1199.6,107
"25","01030","2016",17,14,3,149569.588235294,1714,90.8235294117647
"26","01031","2016",24,6,18,108854.166666667,1466.5,70.9166666666667
"27","01032","2016",21,17,4,218132.857142857,2237.42857142857,102.285714285714
"28","01033","2016",161,59,102,187434.602484472,2305.6149068323,81.6645962732919
"29","01034","2016",75,42,33,136463.986666667,1500.24,93.2133333333333
"30","01035","2016",1,1,0,95000,1188,80
