"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2018",9,9,0,236438.888888889,1906.22222222222,125.777777777778
"2","01002","2018",4,4,0,158409.75,1397.5,111.75
"3","01004","2018",197,113,84,159540.065989848,1934.95431472081,84.3553299492386
"4","01005","2018",27,18,9,199006.962962963,1939.18518518519,104.925925925926
"5","01006","2018",2,2,0,162890,1383,109
"6","01007","2018",28,27,1,171578.214285714,1712.60714285714,102.785714285714
"7","01008","2018",10,10,0,182480,1728,98.8
"8","01009","2018",3,3,0,258310,2234.33333333333,118.666666666667
"9","01010","2018",13,13,0,219753.615384615,2383,91.7692307692308
"10","01011","2018",3,3,0,165000,1772.33333333333,102.333333333333
"11","01012","2018",2,2,0,47500,646,73.5
"12","01013","2018",3,3,0,93683.3333333333,807.333333333333,114
"13","01014","2018",27,22,5,151785.62962963,1635.96296296296,94.6296296296296
"14","01015","2018",4,4,0,142100,1168,113.25
"15","01016","2018",2,2,0,143210,2121.5,62.5
"16","01017","2018",5,4,1,104720,1174.2,87.4
"17","01021","2018",8,8,0,210068.75,2180.125,103.125
"18","01022","2018",18,15,3,119029.777777778,1330.33333333333,94.5
"19","01024","2018",39,32,7,181478.974358974,1807.10256410256,100.051282051282
"20","01025","2018",40,40,0,214145.6,1805.375,119.825
"21","01026","2018",5,5,0,148615.8,1452,102.4
"22","01027","2018",18,14,4,234615.333333333,2256.72222222222,106.666666666667
"23","01028","2018",8,8,0,199275,2005,107.125
"24","01029","2018",9,9,0,130666.666666667,1304.11111111111,108.111111111111
"25","01030","2018",13,10,3,174719.461538462,2002.92307692308,86.7692307692308
"26","01031","2018",26,6,20,89500.5769230769,1218.15384615385,67.9615384615385
"27","01032","2018",33,28,5,235527.575757576,2208.81818181818,110.121212121212
"28","01033","2018",194,57,137,168088.350515464,2139.8969072165,77.0567010309278
"29","01034","2018",105,63,42,155983.285714286,1707.49523809524,92
"30","01035","2018",4,4,0,158250,1547.25,98.25
"31","01036","2018",20,20,0,141516.5,1332.05,107.75
"32","01037","2018",6,6,0,124500,1108.83333333333,110
"33","01038","2018",9,9,0,162935.555555556,1657,102.222222222222
"34","01039","2018",5,5,0,137120,1993,91.6
"35","01040","2018",3,3,0,90500,788,113.333333333333
"36","01041","2018",14,14,0,98583.5714285714,1435.21428571429,74.3571428571429
"37","01043","2018",55,40,15,305542.363636364,3004.16363636364,103.654545454545
"38","01044","2018",6,6,0,288158.333333333,2148,140.666666666667
"39","01045","2018",2,2,0,366000,2382.5,154.5
"40","01046","2018",9,9,0,179140,1702,107.444444444444
"41","01047","2018",9,9,0,248072.222222222,2296.55555555556,114.111111111111
"42","01049","2018",36,32,4,280393.861111111,2728.30555555556,103.75
"43","01050","2018",2,2,0,80000,1200.5,74
"44","01052","2018",5,5,0,216060,2047.8,106
"45","01053","2018",523,115,408,120959.803059273,1545.63288718929,78.3154875717017
"46","01054","2018",11,11,0,225366.363636364,2310.81818181818,104.636363636364
