"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"11826","34251","2020",9,9,0,213944.4,1823.111,113.8889
"11827","34252","2020",7,6,1,79585.71,1124.857,61.14286
"11828","34254","2020",16,15,1,177813.8,1913.188,92.25
"11829","34255","2020",108,77,31,426171.1,3516.176,113.287
"11830","34256","2020",21,18,3,370703.8,3288.619,117.7143
"11831","34257","2020",3,3,0,117666.7,1418,84.66667
"11832","34258","2020",38,38,0,224487.6,2114.474,110.3684
"11833","34259","2020",46,33,13,317309.7,2983.087,107.1739
"11834","34260","2020",12,10,2,88395,985.9167,88.58333
"11835","34261","2020",3,3,0,211666.7,3066.667,66.33333
"11836","34262","2020",4,4,0,263782.5,2886,89.25
"11837","34263","2020",1,1,0,127650,2901,44
"11838","34264","2020",3,3,0,58333.33,1082,54.33333
"11839","34265","2020",10,10,0,377031,3084.6,124.6
"11840","34266","2020",2,2,0,432000,3718.5,115.5
"11841","34267","2020",26,25,1,203048.7,2061.962,91
"11842","34268","2020",13,12,1,217664.6,1914.692,112.9231
"11843","34269","2020",2,2,0,141815.5,1569,97.5
"11844","34270","2020",148,96,52,338331.2,3730.514,92.77027
"11845","34271","2020",2,2,0,218000,2206,105
"11846","34272","2020",37,32,5,260237.2,2969.784,88.05405
"11847","34273","2020",1,1,0,155000,3100,50
"11848","34274","2020",23,23,0,297480.7,3031.13,107.913
"11849","34276","2020",52,47,5,336880,3156.788,108.0962
"11850","34277","2020",3,3,0,103450,906.3333,104.6667
"11851","34278","2020",1,1,0,187000,1438,130
"11852","34279","2020",2,2,0,85000,776,121
"11853","34280","2020",5,5,0,295781.2,3070.4,100
"11854","34281","2020",41,39,2,180907.6,2079.39,93.92683
"11855","34282","2020",22,20,2,272823.2,2368.909,124.3182
"11856","34283","2020",2,2,0,40000,610.5,67.5
"11857","34284","2020",20,17,3,76621.5,991,73.75
"11858","34285","2020",5,5,0,154206,1876.8,86.4
"11859","34286","2020",6,6,0,156400,1750.5,89.83333
"11860","34287","2020",7,6,1,146949.9,1779.714,81.28571
