"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2014",10,10,0,180207,1708.9,107.4
"2","01002","2014",3,3,0,107930,1338,80.3333333333333
"3","01004","2014",125,77,48,164579.392,1946.432,85.872
"4","01005","2014",15,12,3,252109.733333333,2412.2,110.533333333333
"5","01006","2014",1,1,0,60000,857,70
"6","01007","2014",25,24,1,176524.88,1694.16,110.96
"7","01008","2014",8,8,0,170813.75,1800.875,97.875
"8","01009","2014",2,1,1,145000,1237,107.5
"9","01010","2014",15,14,1,176520,1984.33333333333,94.5333333333333
"10","01011","2014",4,4,0,101125,1371.5,98.75
"11","01012","2014",1,1,0,65000,878,74
"12","01014","2014",14,11,3,186254.428571429,1669.42857142857,108.642857142857
"13","01015","2014",9,9,0,159983.888888889,1405.77777777778,105.444444444444
"14","01016","2014",3,3,0,116800,960.666666666667,115
"15","01017","2014",5,5,0,65600,1429.4,52
"16","01021","2014",4,4,0,184000,2214,87
"17","01022","2014",17,11,6,121185.294117647,1388.58823529412,88.1176470588235
"18","01023","2014",1,1,0,125200,1170,107
"19","01024","2014",27,25,2,186506.481481481,1756.66666666667,106.148148148148
"20","01025","2014",26,26,0,176078.076923077,1622.69230769231,111.884615384615
"21","01026","2014",5,5,0,118960,1559.6,74.4
"22","01027","2014",9,8,1,211935.888888889,2508.77777777778,90
"23","01028","2014",4,4,0,135500,2265.75,74.25
"24","01029","2014",1,1,0,63000,438,144
"25","01030","2014",9,5,4,126126.666666667,1743.88888888889,72.1111111111111
"26","01031","2014",12,6,6,157783.5,1773.41666666667,89.75
"27","01032","2014",22,19,3,231575.227272727,2282.40909090909,105.227272727273
"28","01033","2014",142,58,84,175815.316901408,2259.96478873239,79.5211267605634
"29","01034","2014",69,36,33,136006.304347826,1554.66666666667,89.3768115942029
"30","01035","2014",6,5,1,160166.666666667,1581.16666666667,105
"31","01036","2014",15,15,0,142467.333333333,1529.86666666667,101.6
"32","01037","2014",2,2,0,147500,1652,92
"33","01038","2014",2,2,0,126000,1100,115.5
"34","01039","2014",4,3,1,116500,1212,98
"35","01040","2014",3,3,0,147333.333333333,1015.33333333333,141.666666666667
"36","01041","2014",8,8,0,170740.75,1641,101.25
"37","01042","2014",2,2,0,384285.5,2150.5,190
